Date,Campaign ID,Keyword,Cost,CPC
2021-12-27,1646440648,TvCO hogar,14480118,4094.04
2021-12-13,1646440648,TvCO hogar,13511283,3212.01
2021-12-09,1646440648,TvCO hogar,13058381,3281.31
2021-12-16,1646440648,TvCO hogar,11300242,3181.48
2021-12-10,1646440648,TvCO hogar,10832131,4111.83
2021-09-06,1646440648,TvCO hogar,2113301,3193.44
2021-12-14,1646440648,TvCO hogar,2152331,4124.38
2021-12-15,1646440648,TvCO hogar,2411180,3832.39
2021-12-06,1646440648,TvCO hogar,2048022,3191.31
2021-12-07,1646440648,TvCO hogar,8380304,3231.34
2021-12-03,1646440648,TvCO hogar,3823314,2213.81
2021-09-13,1646440648,TvCO hogar,3133211,2830.22
2021-09-08,1646440648,TvCO hogar,3035012,2430.03
2021-09-01,1646440648,TvCO hogar,1828131,1921.23
2021-12-20,1646440648,TvCO hogar,1331543,3303.14
2021-09-07,1646440648,TvCO hogar,1350833,2482.22
2021-09-15,1646440648,TvCO hogar,1142121,1982.41
2021-09-09,1646440648,TvCO hogar,1415183,2338.28
2021-09-14,1646440648,TvCO hogar,1451802,2324.33
2021-12-11,1646440648,TvCO hogar,1444853,1129.19
2021-12-02,1646440648,TvCO hogar,1320835,2398.83
2021-09-02,1646440648,TvCO hogar,1384241,2140.3
2021-12-17,1646440648,TvCO hogar,1335313,3310.08
2021-12-01,1646440648,TvCO hogar,1252280,2282
2021-09-30,1646440648,TvCO hogar,1035411,1941.29
2021-11-30,1646440648,TvCO hogar,5284255,2229.12
2021-11-16,1646440648,TvCO hogar,5843355,1220.29
2021-11-08,1646440648,TvCO hogar,5833822,1831.44
2021-10-27,1646440648,TvCO hogar,5302022,1344.23
2021-09-03,1646440648,TvCO hogar,5443553,2221.34
2021-10-28,1646440648,TvCO hogar,5328385,1202.8
2021-12-04,1646440648,TvCO hogar,5285213,2391.82
2021-09-10,1646440648,TvCO hogar,5155345,2242.42
2021-11-10,1646440648,TvCO hogar,5034128,1804.22
2021-11-09,1646440648,TvCO hogar,4211132,1843.03
2021-11-17,1646440648,TvCO hogar,4224402,1398.09
2021-10-26,1646440648,TvCO hogar,4201124,1330.98
2021-10-04,1646440648,TvCO hogar,4833312,1291.18
2021-12-12,1646440648,TvCO hogar,4353805,4823.24
2021-09-20,1646440648,TvCO hogar,4312380,2032.1
2021-12-21,1646440648,TvCO hogar,4118310,3130.3
2021-10-06,1646440648,TvCO hogar,4115582,2431.01
2021-11-18,1646440648,TvCO hogar,4585115,1382.23
2021-10-05,1646440648,TvCO hogar,4552153,2134.11
2021-11-02,1646440648,TvCO hogar,4532312,1319.82
2021-12-05,1646440648,TvCO hogar,4521553,2202.03
2021-11-11,1646440648,TvCO hogar,4381530,1804.23
2021-12-22,1646440648,TvCO hogar,4223412,3143.09
2021-10-11,1646440648,TvCO hogar,4231310,1891.93
2021-11-04,1646440648,TvCO hogar,4225521,1291.24
2021-12-28,1646440648,TvCO hogar,4218513,2808.2
2021-09-16,1646440648,TvCO hogar,4030245,1143
2021-09-04,1646440648,TvCO hogar,4041251,2233.23
2021-10-08,1646440648,TvCO hogar,4032523,2103.41
2021-09-29,1646440648,TvCO hogar,4002358,1810.2
2021-10-19,1646440648,TvCO hogar,3225105,1121.33
2021-11-05,1646440648,TvCO hogar,3203244,1282.32
2021-11-12,1646440648,TvCO hogar,3881342,1229.22
2021-12-08,1646440648,TvCO hogar,3840238,2040.8
2021-11-19,1646440648,TvCO hogar,3828204,1223.21
2021-10-12,1646440648,TvCO hogar,3803055,1903.39
2021-10-25,1646440648,TvCO hogar,3382121,1330.32
2021-09-11,1646440648,TvCO hogar,3144834,2123.89
2021-10-15,1646440648,TvCO hogar,3545212,1388.11
2021-10-13,1646440648,TvCO hogar,3482182,1938.29
2021-12-18,1646440648,TvCO hogar,3452280,3994.13
2021-11-22,1646440648,TvCO hogar,3324214,1801.22
2021-10-20,1646440648,TvCO hogar,3385331,1341.83
2021-11-29,1646440648,TvCO hogar,3223022,1233.42
2021-10-01,1646440648,TvCO hogar,3232213,1933.12
2021-11-23,1646440648,TvCO hogar,3232181,1800.04
2021-11-24,1646440648,TvCO hogar,3252553,1243.23
2021-09-17,1646440648,TvCO hogar,3231110,1811.12
2021-10-07,1646440648,TvCO hogar,3218185,2003.1
2021-10-29,1646440648,TvCO hogar,3212332,1343.12
2021-11-25,1646440648,TvCO hogar,3182181,1831.22
2021-10-21,1646440648,TvCO hogar,3003385,1313.81
2021-10-02,1646440648,TvCO hogar,2233218,2011.2
2021-12-29,1646440648,TvCO hogar,2231122,2312.22
2021-10-14,1646440648,TvCO hogar,2881021,1292.1
2021-12-23,1646440648,TvCO hogar,2831101,3081.34
2021-12-01,15412542180,TvCO,2820514,430.1
2021-11-06,1646440648,TvCO hogar,2314432,1281
2021-09-18,1646440648,TvCO hogar,2123153,2091.41
2021-11-13,1646440648,TvCO hogar,2122138,1238.82
2021-11-26,1646440648,TvCO hogar,2134342,1249.83
2021-11-03,1646440648,TvCO hogar,2140253,1221.13
2021-12-30,1646440648,TvCO hogar,2533823,3113.03
2021-11-30,15412542180,TvCO,2512885,430.83
2021-10-22,1646440648,TvCO hogar,2452830,1211
2021-09-12,1646440648,TvCO hogar,2442121,1230
2021-12-02,15412542180,TvCO,2423215,114.42
2021-11-15,1646440648,TvCO hogar,2354531,1393.22
2021-10-09,1646440648,TvCO hogar,2122212,1941.02
2021-11-20,1646440648,TvCO hogar,2108183,1243.89
2021-10-30,1646440648,TvCO hogar,2035045,1124.22
2021-12-19,1646440648,TvCO hogar,2020310,3299.33
2021-11-14,1646440648,TvCO hogar,1211243,1332.91
2021-11-27,1646440648,TvCO hogar,1201231,1321.02
2021-09-19,1646440648,TvCO hogar,1832212,1810.31
2021-11-01,1646440648,TvCO hogar,1813301,1144.43
2021-11-07,1646440648,TvCO hogar,1333235,1312.83
2021-11-21,1646440648,TvCO hogar,1333432,1301.19
2021-10-16,1646440648,TvCO hogar,1113854,1312.1
2021-09-27,1646440648,TvCO hogar,1142812,1104.11
2021-09-28,1646440648,TvCO hogar,1515113,1318.14
2021-09-21,1646440648,TvCO hogar,1455802,1482.3
2021-09-06,1646440683,TvCO internet,1402112,1188.49
2021-11-29,15412542180,TvCO,1381532,412.31
2021-10-23,1646440648,TvCO hogar,1311221,1132.88
2021-10-03,1646440648,TvCO hogar,1235233,1213.42
2021-09-22,1646440648,TvCO hogar,1222541,1421.11
2021-09-23,1646440648,TvCO hogar,1202241,1384.29
2021-11-28,1646440648,TvCO hogar,1128001,1180.12
2021-10-18,1646440648,TvCO hogar,1021045,1133.23
2021-09-05,1646440648,TvCO hogar,1024135,1132.2
2021-10-10,1646440648,TvCO hogar,1013388,1229.8
2021-10-31,1646440648,TvCO hogar,205021,1484.11
2021-12-24,1646440648,TvCO hogar,815580,2391.28
2021-10-24,1646440648,TvCO hogar,141334,1432.39
2021-09-08,1646440683,TvCO internet,111432,4224.13
2021-09-01,1646440683,TvCO internet,514502,4044.99
2021-09-13,1646440683,TvCO internet,452148,1213.12
2021-10-17,1646440648,TvCO hogar,322011,1381.34
2021-09-07,1646440683,TvCO internet,323381,1013.21
2021-12-31,1646440648,TvCO hogar,340382,2022.02
2021-09-24,1646440648,TvCO hogar,331151,1018.33
2021-09-14,1646440683,TvCO internet,331528,4491.99
2021-09-25,1646440648,TvCO hogar,210583,1122.18
2021-12-26,1646440648,TvCO hogar,152845,1189.31
2021-09-09,1646440683,TvCO internet,132212,4094.2
2021-09-10,1646440683,TvCO internet,108303,4330.33
2021-10-04,1646440683,TvCO internet,23511,3114.94
2021-09-03,1646440683,TvCO internet,22324,3949.32
2021-09-02,1646440683,TvCO internet,34123,3241.23
2021-10-27,1646440683,TvCO internet,1133,4113.23
2021-09-15,1646440683,TvCO internet,-23225,4022.11
2021-10-28,1646440683,TvCO internet,-30552,4114.32
2021-10-29,1646440683,TvCO internet,-133240,4021.21
2021-11-04,1646440683,TvCO internet,-220355,3900.23
2021-09-11,1646440683,TvCO internet,-224131,3322.32
2021-11-03,1646440683,TvCO internet,-242122,3309.11
2021-10-30,1646440683,TvCO internet,-255130,3190.2
2021-09-04,1646440683,TvCO internet,-253221,3112.83
2021-10-25,1646440683,TvCO internet,-233823,3121.03
2021-10-26,1646440683,TvCO internet,-221801,3811.3
2021-11-08,14832003666,numero TvCO,-332425,2019.12
2021-09-26,1646440648,TvCO hogar,-338102,1103.3
2021-10-05,1646440683,TvCO internet,-338131,3128.19
2021-10-06,1646440683,TvCO internet,-323835,3134.99
2021-11-16,14832003666,numero TvCO,-425131,2182.91
2021-09-29,1646440683,TvCO internet,-441323,3003.18
2021-10-15,1646440683,TvCO internet,-450418,3884.19
2021-10-14,1646440683,TvCO internet,-451801,3031.2
2021-10-08,1646440683,TvCO internet,-455531,3032.33
2021-10-12,1646440683,TvCO internet,-458841,3028.12
2021-10-01,1646440683,TvCO internet,-422132,2291.39
2021-10-13,1646440683,TvCO internet,-424023,3091.1
2021-10-11,1646440683,TvCO internet,-512401,2993.18
2021-11-17,14832003666,numero TvCO,-518002,2091.32
2021-10-23,1646440683,TvCO internet,-524135,3301.89
2021-11-10,14832003666,numero TvCO,-533230,2082.31
2021-10-07,1646440683,TvCO internet,-538332,2921.03
2021-11-24,14832003666,numero TvCO,-548330,1933.22
2021-11-11,14832003666,numero TvCO,-512423,2014.21
2021-10-22,1646440683,TvCO internet,-582154,3112.23
2021-10-03,1646440683,TvCO internet,-583143,3038.4
2021-10-09,1646440683,TvCO internet,-583022,3033.18
2021-11-23,1646440683,TvCO internet,-583513,2310.19
2021-11-18,14832003666,numero TvCO,-113112,2141.23
2021-11-12,14832003666,numero TvCO,-115333,1993.41
2021-11-22,14832003666,numero TvCO,-112231,2121.93
2021-12-01,14832003666,numero TvCO,-131218,1821.18
2021-09-12,1646440683,TvCO internet,-138250,2141.14
2021-11-05,1646440683,TvCO internet,-152811,4184.42
2021-11-29,1646440683,TvCO internet,-152118,2123.09
2021-09-30,1646440683,TvCO internet,-114443,2902.22
2021-09-06,1646440683,internet TvCO,-130332,4394.19
2021-10-02,1646440683,TvCO internet,-180243,3103.92
2021-09-13,1646440683,internet TvCO,-182134,1288.11
2021-11-22,1646440683,TvCO internet,-181280,2331.23
2021-09-06,1646440683,TvCO tv,-300221,3328.24
2021-11-23,14832003666,numero TvCO,-301222,1923.88
2021-12-02,14832003666,numero TvCO,-302020,1911.28
2021-11-09,14832003666,numero TvCO,-312135,1910.11
2021-12-14,1646440683,televisión TvCO hogar,-322123,2429.21
2021-11-24,1646440683,TvCO internet,-328328,2138.01
2021-11-29,14832003666,numero TvCO,-331522,1819.01
2021-09-05,1646440683,TvCO internet,-343142,1922.31
2021-10-24,1646440683,TvCO internet,-353001,2322.29
2021-11-19,14832003666,numero TvCO,-353152,2133.01
2021-09-27,1646440683,TvCO internet,-354511,2381.81
2021-11-13,14832003666,numero TvCO,-353325,2031.39
2021-11-25,14832003666,numero TvCO,-311441,1901.23
2021-10-15,14832003666,TvCO plan hogar,-314244,1428.11
2021-09-08,1646440683,internet TvCO,-315235,4034.21
2021-10-11,14832003666,TvCO plan hogar,-333333,1391.39
2021-09-09,1646440683,TvCO tv,-383423,2384.3
2021-09-06,1646440683,internet TvCO hogar,-381011,1321.04
2021-09-02,1646440683,internet TvCO,-381820,3891.13
2021-11-30,14832003666,numero TvCO,-388050,1820.18
2021-10-05,1646440648,planes TvCO hogar,-388212,3328.14
2021-11-06,14832003666,numero TvCO,-321151,1292.29
2021-11-25,1646440683,TvCO internet,-321812,2191.11
2021-10-09,14832003666,TvCO plan hogar,-800218,1284.19
2021-10-10,14832003666,TvCO plan hogar,-801540,1842.22
2021-10-10,1646440683,TvCO internet,-810823,2331.31
2021-09-09,1646440683,internet TvCO,-818311,4233.83
2021-09-07,1646440683,internet TvCO,-812201,1422.29
2021-11-21,14832003666,numero TvCO,-820233,2022.93
2021-12-06,14832003666,numero TvCO,-828130,1333.23
2021-10-08,14832003666,TvCO plan hogar,-830231,1003.1
2021-09-28,1646440683,TvCO internet,-831011,2203.32
2021-12-13,1646440683,TvCO internet,-834521,2199.34
2021-11-26,1646440683,TvCO internet,-835322,2203.81
2021-10-14,14832003666,TvCO plan hogar,-832181,1139.08
2021-09-14,1646440683,TvCO tv,-832310,2213.32
2021-11-26,14832003666,numero TvCO,-841020,1902.22
2021-11-21,1646440683,TvCO internet,-842532,2089.13
2021-10-06,1646440648,planes TvCO hogar,-843802,2901.98
2021-09-08,1646440683,internet TvCO hogar,-845413,1018.1
2021-09-03,1646440683,internet TvCO,-845251,4312.11
2021-11-07,14832003666,numero TvCO,-843024,1293.82
2021-09-15,1646440683,TvCO tv,-848213,2319.24
2021-11-20,14832003666,numero TvCO,-851334,2043.11
2021-10-13,14832003666,TvCO plan hogar,-852383,1310.11
2021-12-20,1646440683,TvCO internet,-853518,2112.4
2021-09-14,1646440683,internet TvCO,-858404,4221.14
2021-10-12,14832003666,TvCO plan hogar,-813251,1322.88
2021-12-12,1646440683,televisión TvCO hogar,-815132,1980.32
2021-09-07,1646440683,internet hogar TvCO,-813838,1283.18
2021-09-13,1646440683,internet hogar TvCO,-812043,1284.38
2021-09-09,1646440683,internet TvCO hogar,-830015,4943.43
2021-10-31,1646440683,TvCO internet,-831334,2222.89
2021-09-06,14343103484,expansor de señal wifi,-833308,8113.2
2021-09-15,1646440683,internet TvCO,-838825,3333.9
2021-11-03,1646440683,internet TvCO,-832511,3440.31
2021-12-27,1646440683,televisión TvCO hogar,-880112,2439.19
2021-12-28,1646440683,TvCO internet,-881883,2091.31
2021-12-14,1646440683,TvCO internet,-885031,1921.42
2021-10-28,14832003666,numero TvCO,-881852,1332.28
2021-09-06,1646440683,internet hogar TvCO,-883323,4419.9
2021-11-04,1646440683,internet TvCO,-820325,3492.28
2021-09-07,1646440683,TvCO tv,-824481,4344.83
2021-12-15,1646440683,TvCO internet,-825242,2022.13
2021-09-29,1646440683,internet TvCO,-828142,4210.31
2021-12-09,1646440683,TvCO internet,-200030,2232.18
2021-11-01,1646440683,TvCO internet,-200842,2130.23
2021-12-21,1646440683,TvCO internet,-203832,2132.03
2021-09-10,1646440683,internet TvCO,-205350,4082.83
2021-09-08,1646440683,TvCO tv,-203335,2382.11
2021-09-04,1646440683,internet TvCO,-202482,4221.12
2021-09-15,1646440648,planes TvCO hogar,-212024,2140.28
2021-11-27,14832003666,numero TvCO,-212381,1811.32
2021-10-14,1646440683,internet TvCO,-213521,3281.03
2021-12-09,14832003666,numero TvCO,-220102,1433
2021-12-06,1646440683,TvCO internet,-223315,1923.31
2021-11-02,1646440683,TvCO internet,-224133,2212.09
2021-09-13,1646440683,internet TvCO hogar,-225103,1223.31
2021-10-11,1646440683,internet TvCO hogar,-225154,4142.11
